dependency,count
cn.lite.flow:lite-flow-executor-common,1
com.github.valfirst:jbehave-junit-runner,1
org.mule.runtime:mule-module-repository,1
io.gravitee.el:gravitee-expression-language,1
com.pojosontheweb:selenium-utils-groovy,1
com.ctrip.framework.apollo:apollo-buildtools,1
org.apache.linkis:linkis-cs-persistence,1
com.dlink:dlink-client-1.14,1
org.apache.pdfbox:pdfbox,26
org.xwiki.platform:xwiki-platform-query-xwql,1
org.xwiki.platform:xwiki-platform-wiki-script,1
org.jboss.jbossts:jbossjta,2
org.joyqueue:openmessaging-spring-boot-starter,1
com.vaadin:vaadin-upload-flow,1
org.mybatis:mybatis-spring,47
org.apache.camel.quarkus:camel-quarkus-twilio,1
com.vladsch.flexmark:flexmark-ext-media-tags,1
org.jruby:jruby-complete,13
org.hsqldb:hsqldb,120
org.scala-lang:scala-reflect,29
com.github.scribejava:scribejava-core,5
io.trino:trino-geospatial,1
com.sun.jdmk:core,1
org.apache.chemistry.opencmis:chemistry-opencmis-client-impl,3
org.nuxeo.ecm.routing:nuxeo-routing-web,1
org.apache.ant:ant-junit,2
org.apache.cayenne:cayenne-cgen,1
org.webjars.bower:ztree,1
net.sf.ucanaccess:ucanaccess,5
com.milaboratory:milib,1
de.tudarmstadt.ukp.inception.app:inception-ui-core,1
io.cattle:cattle-simulator-storage,1
info.picocli:picocli-shell-jline3,3
us.fatehi:schemacrawler-jdbc-drivers,1
org.wildfly.extras.batavia:transformer-api,1
org.graylog.repackaged:semver4j,1
javax.security.enterprise:javax.security.enterprise-api,4
io.selendroid:selendroid-client,2
org.noear:solon.schedule,1
org.snakeyaml:snakeyaml-engine,3
io.agroal:agroal-pool,1
io.quarkus:quarkus-awt-deployment,1
io.quarkus:quarkus-oidc-client-reactive-filter,1
io.quarkus:quarkus-quartz,1
io.smallrye.reactive:smallrye-reactive-converter-rxjava2,2
io.smallrye:smallrye-opentracing,1
org.wso2.carbon.identity.conditional.auth.functions:org.wso2.carbon.identity.conditional.auth.functions.choreo,1
org.wso2.orbit.joda-time:joda-time,3
org.benf:cfr,3
org.wso2.carbon.data:org.wso2.carbon.dataservices.core,1
org.camunda.bpm.springboot:camunda-bpm-spring-boot-starter-test,3
org.radargun:plugin-jdg71,1
org.unidal.webres:WebResServer,1
org.restheart:restheart-polyglot,1
org.jzy3d:jzy3d-native-jogl-swing,1
org.apache.spark:spark-streaming-twitter_2.11,1
com.dslplatform:dsl-json-integration-tests-java8-external-models,1
org.dromara:hmily-serializer-msgpack,1
io.hops:hadoop-common,1
io.hops:hadoop-yarn-server-timelineservice-hbase-common,1
org.wildfly.swarm:jackson,1
dev.jorel:commandapi-1.16.5,1
io.mycat:config,1
org.optaplanner:optaplanner-benchmark,1
org.apache.wicket.experimental.wicket9:wicket-http2-tomcat,1
org.exbin.deltahex:deltahex-highlight-swing,1
