repositoryName,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,both
senseidb/zoie,6,62,6
dice-group/AGDISTIS,3,5,3
weiboad/fiery,0,11,0
DependencyTrack/dependency-track,0,9,0
intuit/fuzzy-matcher,1,1,1
dice-group/Palmetto,1,10,1
ysc/word,1,7,1
Stratio/cassandra-lucene-index,8,91,7
javasoze/clue,0,38,0
